ID,Name,Price,Rating,Number of Ratings,Product Information
1,"Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365",$425.55,4.3 out of 5 stars,486,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11
2,"HP 2022 Premium 14-inch HD Thin and Light Laptop, Intel Quad-Core Processor, 8GB RAM, 64GB Storage, Long Battery Life, Webcam, Bluetooth, HDMI, Wi-Fi, Rose Gold, Windows 11 + 1 Year Microsoft 365",$299.00,4.2 out of 5 stars,527,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|8.0 GB|Operating System|:|Windows 11
3,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$329.99,4.5 out of 5 stars,"35,998",Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11 S
4,"Apple 2020 MacBook Air Laptop M1 Chip, 13"" Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",$749.99,4.8 out of 5 stars,"19,745",Display Size|:|13.3 inches|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Mac OS
5,"Dell Latitude 3189 2-in-1 11.6 inch HD Touchscreen Laptop PC - Intel Pentium N4200 2.5GHz, 8GB, 128GB SSD (Renewed)",$114.00,4.0 out of 5 stars,178,Display Size|:|11.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 10
6,"HP 2022 Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 4GB RAM, 64GB SSD, Intel HD Graphics, 720p Webcam, 1 Year Office 365, Gold, Win 11, 32GB Snowbell USB Card",$259.00,4.3 out of 5 stars,630,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 11 S
7,"Dell Inspiron 7630 Laptop - Intel Core i7-13700H, 16-inch 16:10 2.5K Display, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6, Services Included, Windows 11 Pro - Silver","$1,399.99",4.1 out of 5 stars,157,Display Size|:|16 inches|Disk Size|:|-|RAM|:|32 GB|Operating System|:|Windows 11 Pro
8,"Lenovo IdeaPad Gaming 3 - (2022) - Essential Gaming Laptop Computer - 15.6"" FHD - 120Hz - AMD Ryzen 5 6600H - NVIDIA GeForce RTX 3050 - 8GB DDR5 RAM - 256GB NVMe Storage - Windows 11 Home",$669.99,4.3 out of 5 stars,811,Display Size|:|15.6|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Windows 11 Home
9,"Microsoft Surface Laptop 4 13.5"" Touchscreen AMD Ryzen 5 8GB 128GB Windows 11 H",$449.00,,New Price: ,Display Size|:|13.5 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11
10,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",$222.94,4.4 out of 5 stars,"2,368",Display Size|:|14 inches|Disk Size|:|64|RAM|:|4 GB|Operating System|:|Chrome OS
11,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",$299.99,4.3 out of 5 stars,"2,482",Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11 S
12,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver","$1,049.99",4.1 out of 5 stars,156,Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
13,"Acer 2022 Chromebook 315 15.6"" Full HD 1080p IPS Touchscreen Laptop PC, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 RAM, 64GB eMMC, Webcam, WiFi, 12 Hrs Battery Life, Chrome OS, Silver",$191.90,4.3 out of 5 stars,353,Display Size|:|15.6 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Chrome OS
14,"ASUS G614JI-AS94 ROG Strix G16 (2023) Gaming Laptop, 16â€ 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray","$1,984.40",4.5 out of 5 stars,601,Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Home
15,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",$483.60,4.4 out of 5 stars,324,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|32 GB|Operating System|:|Windows 11 Home
16,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 16GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11",$349.00,4.3 out of 5 stars,72,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|-|Operating System|:|Windows 11 Home
17,"ASUS VivoBook 15.6"" FHD Business Laptop Newest, 6 Cores AMD Ryzen 5 Processor, 16GB RAM 1TB SSD, Backlit Keyboard, 180° Lay-Flat Hinge, Windows11, Blue +CUE Accessories",$599.00,4.3 out of 5 stars,24,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|-|Operating System|:|Windows 11
18,"Acer Nitro 5 AN515-58-57Y8 Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",$949.99,4.4 out of 5 stars,"2,665",Display Size|:|15.6 inches|Disk Size|:|512 GB|RAM|:|16.0 GB|Operating System|:|Windows 11 Home
19,"LincPlus Laptop 14 inch Thin Light PC,Intel Celeron Full HD IPS Computer 4GB DDR 64GB eMMC Mini Metal Netbook,Support 128GB TF Cardand 1TB SSD Expansion,Windows 10 Home in S Mode",$199.00,3.6 out of 5 stars,349,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 10 S
20,"Lenovo Ideapad 1i 14"" HD (Intel Dual-Core Celeron N4020, 4GB DDR4 RAM, 64GB Storage, UHD Graphics, Anti-Glare, Webcam) Home & Education Laptop, Bluetooth, Wi-Fi 6, Type-C, Win 11 Home in S Mode",$189.98,4.2 out of 5 stars,19,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|64.0 GB|Operating System|:|Windows 11 S
21,"ASUS 2023 Vivobook Go 15 Laptop, 15.6” FHD Display, AMD Ryzen 5 7520U Processor, 8GB RAM, 512GB SSD, Windows 11 Home, Mixed Black, E1504FA-AS52",$549.99,4.1 out of 5 stars,15,Display Size|:|15.6 inches|Disk Size|:|512 GB|RAM|:|8 GB|Operating System|:|Windows 11 Home
22,"Acer Chromebook 317 CB317-1H-C6RK Laptop | Intel Celeron N4500 | 17.3"" Full HD IPS Display | 4GB LPDDR4X | 128GB eMMC | Intel Wireless Wi-Fi 6 AX201 802.11ax | Chrome OS, Silver",$345.58,4.4 out of 5 stars,"1,273",Display Size|:|17.3|Disk Size|:|128 GB|RAM|:|4|Operating System|:|Chrome OS
23,"Dell Inspiron 7630 Laptop - Intel Core i7-13700H, 16-inch 16:10 2.5K Display, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6, Services Included, Windows 11 Pro - Silver","$1,399.99",4.1 out of 5 stars,157,Display Size|:|16 inches|Disk Size|:|-|RAM|:|32 GB|Operating System|:|Windows 11 Pro
24,"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11",$449.00,4.3 out of 5 stars,412,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
25,"ASUS G614JI-AS94 ROG Strix G16 (2023) Gaming Laptop, 16â€ 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray","$1,984.40",4.5 out of 5 stars,601,Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Home
26,"Acer Nitro 5 AN515-58-525P Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",$770.00,4.4 out of 5 stars,"2,665",Display Size|:|15.6 inches|Disk Size|:|512 GB|RAM|:|8 GB|Operating System|:|Windows 11 Home
27,"Acer Swift Go 14 Intel Evo Thin & Light Laptop 14"" 1920x1200 100% sRGB Touch Display Intel Core i7-1355U Intel Iris Xe 16GB LPDDR5 512GB Gen 4 SSD Killer WiFi 6E AX1675 SFG14-71T-72QV",$899.99,4.7 out of 5 stars,28,Display Size|:|14 inches|Disk Size|:|512 GB|RAM|:|16.0 GB|Operating System|:|Windows 11 Home
28,"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb185nr, Royal Blue)",$210.00,4.4 out of 5 stars,"2,018",Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 10 Home
29,"HP 14"" IPS FHD Display Laptop, 16GB Memory, 1TB Storage, Backlit Keyboard, Intel Quad-Core Processor Up to 3.7GHz, Type-C, Fast Charge, Microsoft 365 1-Year Included Windows 11S with Accessories",$489.99,4.5 out of 5 stars,4,Display Size|:|14 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
30,"2022 Newest Lenovo IdeaPad 1 Laptop, 14"" Anti-Glare Display, Intel Quad-Core Processor, Intel UHD Graphics, 4GB RAM, 256GB PCIe SSD, Windows 11 + Microfiber Cloth",$279.00,4.2 out of 5 stars,331,Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|12 GB|Operating System|:|Windows 11
31,"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",$221.00,4.1 out of 5 stars,732,Display Size|:|15.6 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 11 S
32,"HP Chromebook 14"" G5, Intel Celeron N3350, 4GB RAM, 16GB SSD (3NU63UT#ABA) (Renewed)",$99.00,4.0 out of 5 stars,265,Display Size|:|14 inches|Disk Size|:|16 GB|RAM|:|4.0 GB|Operating System|:|Chrome OS
33,"Acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 20GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",$519.99,4.4 out of 5 stars,110,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 S
