ID,Name,Display Size,RAM (GB),Storage,GPU,Brand,Operating System,CPU,Color,Screen Resolution,Series
1,"HP 17.3"" Flagship HD+ Business ",?17.3,?16,?1024,?Intel UHD Graphics,?HP,?Windows11,?Intel,,?1600x900,?HP
2,"Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon,?Lenovo,?Windows11,?AMD,,?1366x768,?IdeaPad
3,"Lenovo Ideapad 1i 14"" HD (Intel Celeron N4020, 4GB RAM, 128GB Storage (64GB eMMC + 64GB SD Card), UHD Graphics) Home & Education ",?14,?4,?128,?Intel UHD Graphics 600,?Istcomputers,?Windows11S,?Intel,?Cloud Grey,?1366x768,?Ideapad 1i
4,"Gateway 2023 15"" HD IPS ",?15,?4,?128,,?Gateway,?ChromeOS,?Intel,,?1366x768,"?Gateway 15"" Chromebook"
5,Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible ,?11.6,?4,?64,?Intel,?Gateway,?Windows10S,?Intel,?Black,?1366x768,?Gateway-11-T-Black
6,jumper ,?14,?12,?256,?Intel UHD Graphics 600,?jumper,?Windows11,?Intel,,?1920x1080,?Jumper Laptop S5
7,WIPEMIK ,?15.6,?,?512,?Intel UHD Graphics 600,?WIPEMIK,?Windows11Pro,?Intel,,?1920x1080,
8,HP 2022 Stream 14'' HD ,?14,?4,?64,?Intel HD Graphics 600,?HP,?Windows11S,?Intel,?White,?1366x768,
9,"HP Latest Stream 14"" HD ",?14,?4,?64,?Intel Integrated Graphics 600,?HP,?Windows11,?Intel,?Jet Black,?1366x768,?HP Laptop
10,Lenovo 2022 Ideapad 3 ,?15.6,?12,?256,?Intel UHD Graphics,?Lenovo,?Windows11Home,?Intel,?Almond,?1366x768,?Ideapad 3
11,Acer Swift 3 Thin & Light ,?14,?8,?512,?AMD Radeon Graphics,?acer,?Windows10Home,?AMD,?Silver,?1920x1080,?Swift 3
12,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
13,"HP 2023 14"" HD IPS Chromebook, Intel Pentium 4-Core Processor Up to 2.68GHz, 4GB Ram, 64GB SSD, Intel 4K Graphics, Super-Fast 6th Gen WiFi, Dale Silver, Chrome OS (Renewed)",?14,?4,?64,,?HP,?ChromeOS,?Intel,?Dale Silver,?1366x768,"?HP 14"" Chromebook"
14,ASUS Newest Vivobook ,?14,?24,?1024,?Intel UHD Graphics 770,?ASUS,?Windows11Home,?Intel,?Silver,?1366x768,?ASUS - Vivobook
15,"Acer Vero 14"" FHD ",?14,?16,?512,,?Acer,?Windows11Home,?Intel,,?1920x1080,?AV14-51-58XZ
16,Dell Latitude 5400 Business ,?14,?8,?,,?Dell,?Windows10Pro,?Intel,,?1920x1080,?Dell Latitude
17,Coolby ,?15.6,?4,?512,,?Coolby,?Windows11Pro,?Intel,,?1920x1080,?HealBook Pro
18,SGIN 15.6 Inch ,?15.6,?4,?128,?Integrated,?SGIN,?Windows11,?Intel,?Gray,?1366x768,
19,"ASUS C223 11.6"" HD Chromebook ",?11.6,?4,?32,?Intel HD Graphics 500,?ASUS,?ChromeOS,?Intel,?Gray,?1366x768,
20,"HP Newest 14"" Ultral Light ",?14,?,?64,?Intel UHD Graphics 600,?HP,?Windows11Home,?Intel,?Jet Black,?1366x768,"?HP Newest 14"""
21,Lenovo Ideapad 14in Chromebook Intel Celeron N3060 Dual-core 1.6GHz 4GB LPDDR3 32GB Flash Memory Chrome OS (Renewed),?14,?4,?32,?Intel HD Graphics 400,?Lenovo,?ChromeOS,?Intel,,?1366x768,?N42-20
22,SGIN ,?15.6,?4,?128,?Integrated,?SGIN,?Windows11Home,?Intel,?Silver,?1366x768,?SGIN-M15
23,WIPEMIK ,?15.6,?,?512,?Intel UHD Graphics 600,?WIPEMIK,?Windows11Pro,?Intel,,?1920x1080,
24,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
25,"HP 17.3"" Full HD ",?17.3,?8,?256,?AMD Radeon Integrated Graphics,?HP,?Windows10,?AMD,?Silver,?1920x1800,?HP 17 Laptop
26,15.6inch 1080p ,?15.6,?,?512,?Intel UHD Graphics,?Generic,?Windows11Home,?Intel,?Gray,?1920x1080,?X133
27,"HP 2022 Stream 14"" HD BrightView ",?14,?16,?64,?Intel HD Graphics 600,?HP,?Windows11,?Intel,?Blue,?1366x768,
