ID,Name,Screen Size (inches),Memory,SSD,GPU,Brand,Operating System,CPU,Color,Resolution,Series,FullName,,,,,
1,Lenovo ThinkPad T480s Ultrabook FHD (1920x1080) 14.0'' Home and Business Laptop,14,16,512,Intel UHD Graphics,,Windows10Pro,Intel Core i5 8th Gen,Black,1920x1080,,"Lenovo ThinkPad T480s Ultrabook FHD (1920x1080) 14.0'' Home and Business Laptop, Intel Core i5-8350U, up to 3.7GHz, 16GB RAM, 512GB SSD, Backlit Keyboard, Wi-Fi, Bluetooth, Windows 10 Pro 64 bit",,,,,
2,Lenovo ThinkPad T580 15.6'' FHD Business Laptop Computer,15.6,16,256,,,Windows10Pro,Intel Core i5 8th Gen,Black,1920x1080,,"Lenovo ThinkPad T580 15.6'' FHD Business Laptop Computer, Intel Core i5-8350U Processor, 16GB RAM, 256GB SSD, Backlit Keyboard, HDMI, CAM, Bluetooth, Windows 10 Pro",,,,,
3,Lenovo ThinkPad T480s FHD (1920x1080) 14.0''Business Laptop,14,24,512,Intel UHD Graphics,,Windows10Pro,Intel Core i7 8th Gen,Black,1920x1080,,"Lenovo ThinkPad T480s FHD (1920x1080) 14.0''Business Laptop, Intel Core i7-8650 Processor, up to 3.7GHz, 24GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Wi-Fi, Fingerprint, Bluetooth, Windows 10 Pro 64bit",,,,,
4,HP EliteBook 840 G6,14,16,256,Integrated: Intel UHD Graphics 620,HP,Windows10Pro,Intel Core i5 8th Gen,Silver,1920x1080,EliteBook,"HP EliteBook 840 G6, 1.60 GHz Intel Core i5 8th Gen, 8 GB DDR4, 128 GB SSD, Windows 10 Pro 64Bit, 14"" 1920 x 1080 LCD, Laptop 256 GB 16GB",,,,,
5,MSI Cyborg Gaming Laptop,15.6,32,2048,NVIDIA GeForce RTX 4050,MSI,Windows11Home,Intel Core i7 13th Gen,Black,1920x1080,,"MSI Cyborg Gaming Laptop, 15.6"" IPS FHD 144Hz Display, Intel Core i7-13620H Processor, 32GB DDR5 RAM, 2TB SSD, NVIDIA GeForce RTX 4050 Graphics, Wi-Fi 6, Bluetooth, Backlit Keyboard, Windows 11 Home",,,,,
6,"Lenovo IdeaPad Flex 5 16"" 2-in-1 Touchscreen Laptop - Intel Core i7 12th Gen 1255U 16GB RAM 512GB SSD Windows 11 Home",16,16,512,Intel Iris Xe Graphics,Lenovo,Windows11Home,Intel Core i7 12th Gen,Storm Grey,2560x1600,IdeaPad Flex 5 16IAU7,"Lenovo IdeaPad Flex 5 16"" 2-in-1 Touchscreen Laptop - Intel Core i7 12th Gen 1255U 16GB RAM 512GB SSD Windows 11 Home, Lenovo Premium Care, 82R80002US",,,,,
7,"2022 Apple MacBook Pro 13.3"" Laptop (Apple M2 8-Core",13.3,8,256,,,,Apple M2,Space Gray,,MacBook Pro,"2022 Apple MacBook Pro 13.3"" Laptop (Apple M2 8-Core, 8GB RAM, 256GB SSD, 10-Core GPU) Space Gray",,,,,
8,"Lapbook 15.6"" S15 N2 256GB Full HD Windows 11 Home Slim & Lightweight Laptop - 8GB RAM",15.6,8,256,,,Windows11Home,,,1920x1080,,"Lapbook 15.6"" S15 N2 256GB Full HD Windows 11 Home Slim & Lightweight Laptop - 8GB RAM, 256GB M.2 SSD Storage, Intel N4020C CPU, AC WIFI + RJ45 Connection, Integrated Webcam",,,,,
9,"MacBook Air 13"" MLY33LL/A 2022 Apple M2/8-core GPU 8GB RAM 256GB SSD - Midnight",13.6,8,256,8-Core GPU,,macOS10.15Catalina,Apple M2,Midnight,,,"MacBook Air 13"" MLY33LL/A 2022 Apple M2/8-core GPU 8GB RAM 256GB SSD - Midnight",,,,,    
10,"ASUS Laptop ZenBook Pro Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 11 Home 64-bit UX7602ZM-DB74T",16,16,1024,NVIDIA GeForce RTX 3060,ASUS,Windows11Home,Intel Core i7 12th Gen,Tech Black (Aluminum),3840x2400,ZenBook Pro,"ASUS Laptop ZenBook Pro Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 11 Home 64-bit UX7602ZM-DB74T",,,,,
