ID,Name,Price,Rating,Number of Ratings,Product Information
1,"HP 17.3"" Flagship HD+ Business Laptop, 16GB DDR4 RAM, 1TB PCIe SSD, Intel Quad Core i3-1125G4(Beat i5-1035G4), Bluetooth, HDMI, Webcam, Windows 11, Silver, w/GM Accessories",$649.00,4.3 out of 5 stars,169,Display Size|:|17.3 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
2,"Acer Aspire Vero AV15-51-5155 Green PC | 15.6"" FHD IPS 100% sRGB Display | 11th Gen Intel Core i5-1155G7 | Intel Iris Xe Graphics | 8GB DDR4 | 256GB SSD | Wi-Fi 6 | PCR Materials | Windows 11 Home",$449.99,4.4 out of 5 stars,703,Processor Type|:|Core i5|Disk Size|:|256 GB|RAM|:|8 GB|Processor Speed|:|4.5 GHz
3,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$279.00,4.5 out of 5 stars,"35,995",Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11 S
4,"Apple 2020 MacBook Air Laptop M1 Chip, 13"" Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",$749.99,4.8 out of 5 stars,"19,722",Display Size|:|13.3 inches|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Mac OS
5,"HP 2022 Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 4GB RAM, 64GB SSD, Intel HD Graphics, 720p Webcam, 1 Year Office 365, Gold, Win 11, 32GB Snowbell USB Card",$259.00,4.3 out of 5 stars,628,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 11 S
6,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",$299.99,4.3 out of 5 stars,"2,473",Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11 S
7,"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11",$449.00,4.3 out of 5 stars,409,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
8,"Lenovo IdeaPad Gaming 3 - (2022) - Essential Gaming Laptop Computer - 15.6"" FHD - 120Hz - AMD Ryzen 5 6600H - NVIDIA GeForce RTX 3050 - 8GB DDR5 RAM - 256GB NVMe Storage - Windows 11 Home",$599.99,4.3 out of 5 stars,808,Display Size|:|15.6|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Windows 11 Home
9,"Acer Swift X SFX14-42G-R607 Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 7 5825U | NVIDIA RTX 3050 Ti Laptop GPU | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Backlit KB | Windows 11, Gray",$629.99,4.3 out of 5 stars,800,Display Size|:|14 inches|Disk Size|:|512 GB|RAM|:|16 GB|Operating System|:|Windows 11 Home
10,"Dell Latitude 3189 2-in-1 11.6 inch HD Touchscreen Laptop PC - Intel Pentium N4200 2.5GHz, 8GB, 128GB SSD (Renewed)",$119.00,4.0 out of 5 stars,178,Display Size|:|11.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 10
